,Class name,Pixel count,IOU (Jaccard),F1 (Dice),Accuracy
0,Background,37938137,,,
1,Left Hippocampus,131087,0.7559937834739685,0.8412074446678162,0.9935303926467896
2,Left External Capsule,135881,0.5220097303390503,0.6688738465309143,0.9831974506378174
3,Left Caudate Putamen,111875,0.7495996952056885,0.8350550532341003,0.9952642917633057
4,Left Anterior Commissure,3482,0.1687960922718048,0.21985623240470886,0.9993910789489746
5,Left Globus Pallidus,11273,0.5497947335243225,0.6798010468482971,0.9987598061561584
6,Left Internal Capsule,7407,0.42103880643844604,0.5568934082984924,0.9987938404083252
7,Left Thalamus,123992,0.7200982570648193,0.8077272176742554,0.9943118095397949
8,Left Cerebellum,262497,0.7596372365951538,0.8336195945739746,0.9929276704788208
9,Left Superior Colliculi,43596,0.6392590999603271,0.749603807926178,0.9965081810951233
10,Left Ventricles,63721,0.48091086745262146,0.604429304599762,0.9930828809738159
11,Left Hypothalamus,61080,0.6874539852142334,0.7764318585395813,0.9965865612030029
12,Left Inferior Colliculi,29818,0.6186304092407227,0.726525604724884,0.9979605674743652
13,Left Central Gray,15979,0.5417723059654236,0.6669561266899109,0.9980612397193909
14,Left Neocortex,659009,0.8286441564559937,0.8927902579307556,0.9820396304130554
15,Left Amygdala,47335,0.6275801062583923,0.7363863587379456,0.9968961477279663
16,Left Olfactory bulb,130419,0.7635636329650879,0.8383264541625977,0.9958672523498535
17,Left Brain Stem,737139,0.8098215460777283,0.8730360865592957,0.9816700220108032
18,Left Rest of Midbrain,59273,0.5604334473609924,0.6762046813964844,0.9948233366012573
19,Left Basal Forebrain Septum,68563,0.6751331090927124,0.771653413772583,0.9960654973983765
20,Left Fimbria,7098,0.3839273154735565,0.491924911737442,0.9990265369415283
21,Right Hippocampus,133571,0.7597795128822327,0.8488208055496216,0.993502140045166
22,Right External Capsule,0,0.0,0.0,1.0
23,Right Caudate Putamen,108608,0.7188674211502075,0.818943977355957,0.9941874742507935
24,Right Anterior Commissure,4079,0.1518622785806656,0.2078736424446106,0.9992804527282715
25,Right Globus Pallidus,11764,0.48809781670570374,0.6224924921989441,0.998447835445404
26,Right Internal Capsule,8256,0.3908814489841461,0.522767186164856,0.9987072944641113
27,Right Thalamus,128530,0.7103733420372009,0.7975354790687561,0.99403315782547
28,Right Cerebellum,271925,0.7754397988319397,0.8457595109939575,0.9929892420768738
29,Right Superior Colliculi,43972,0.6378934979438782,0.7476724982261658,0.996573805809021
30,Right Ventricles,0,0.0,0.0,1.0
31,Right Hypothalamus,64362,0.6788002252578735,0.7742549180984497,0.9960582256317139
32,Right Inferior Colliculi,31732,0.6174114346504211,0.7218641638755798,0.9976996183395386
33,Right Central Gray,17607,0.5591675043106079,0.6806978583335876,0.998024582862854
34,Right Neocortex,667620,0.8262510895729065,0.8937675952911377,0.9801697731018066
35,Right Amygdala,48049,0.6088874936103821,0.7184947729110718,0.9965958595275879
36,Right Olfactory bulb,136644,0.7583563923835754,0.8305426836013794,0.9951682090759277
37,Right Brain Stem,0,0.0,0.0,1.0
38,Right Rest of Midbrain,64558,0.5882165431976318,0.6988025307655334,0.9948493838310242
39,Right Basal Forebrain Septum,70349,0.664730966091156,0.7662125825881958,0.995603621006012
40,Right Fimbria,7041,0.34992218017578125,0.47038161754608154,0.998896062374115
